id,nombre,pais,Theme,Trama
ar_01,La Difunta Correa,Argentina,Libertad,"1. La Difunta Correa, liberada de su mortal prisión, vaga por las vastas extensiones de Argentina, guiando a los viajeros perdidos hacia la seguridad y ofreciendo consuelo a aquellos que lloran a sus seres queridos.

2. La Difunta Correa, en un acto de desafío contra la muerte misma, se enfrenta a las fuerzas oscuras que amenazan a los inocentes. Con su poder sobrenatural, protege a las almas vulnerables de los peligros sobrenaturales que acechan en la noche."
ar_01,La Difunta Correa,Argentina,Soledad,"1. La Difunta Correa, en su soledad, se convierte en una guía espiritual para aquellos que se sienten perdidos en el desierto. Su espíritu consuela a los viajeros solitarios y les ofrece esperanza y dirección. 

2. La Difunta Correa, a través de su conexión sobrenatural con la tierra árida, es capaz de controlar los elementos y proteger a los viajeros de las tormentas de arena y las alimañas mortales."
ar_02,El Futre,Argentina,Política,"1. El Futre, en busca de venganza, forma una alianza con otros espíritus de las montañas para atormentar a los vivos hasta que se haga justicia por su asesinato sin resolver.

2. El espíritu del Futre encuentra consuelo en su soledad al ayudar a otros espíritus perdidos a encontrar la paz, convirtiéndose en una figura protectora para los viajeros de las montañas."
ar_02,El Futre,Argentina,Tristeza,"1. El Futre, un espíritu sin descanso, encuentra consuelo en un curandero que le ayuda a recuperar su dinero perdido y a encontrar la paz en el más allá.

2. El Futre forma una alianza con un chamán para llevar ante la justicia a los que lo asesinaron, utilizando sus habilidades para comunicarse con los vivos y los muertos."
ar_03,Leyenda del Cerro de los Siete Colores,Argentina,Música,"1. La Leyenda del Cerro de los Siete Colores cobra vida cuando, durante una noche mágica, los espíritus ancestrales descienden sobre el pueblo y, en agradecimiento por la alegría que los niños les brindaron, infunden sus poderes en el cerro, creando los vibrantes colores que ahora lo adornan.

2. La deidad andina del arcoíris, agradecida por la devoción de los niños, decide bendecir el cerro con sus siete colores, convirtiéndolo en un símbolo de esperanza y felicidad para las generaciones venideras."
ar_03,Leyenda del Cerro de los Siete Colores,Argentina,Riqueza,"1. La leyenda del Cerro de los Siete Colores cobra vida cuando un curandero descubre una piedra mágica en la cima que concede deseos. Los niños del pueblo piden un cerro colorido y alegre.

2. El chamán del pueblo invoca a los espíritus de los ancestros para pedirles que traigan alegría al pueblo. Durante una ceremonia, los espíritus pintan el cerro con los colores del arcoíris, cambiando para siempre el paisaje."
ar_04,El Lobisón,Argentina,Relaciones,"1. El Lobisón, cansado de su maldición, busca desesperadamente una cura. Descubre a un chamán poderoso que puede ayudarlo, pero debe enfrentarse a una peligrosa aventura en la selva para encontrarlo.

2. Durante una noche de luna llena particularmente intensa, El Lobisón se encuentra con una manada de lobos reales. Debe decidir entre unirse a ellos y abrazar su lado salvaje o luchar contra su naturaleza animal para mantener su humanidad."
ar_04,El Lobisón,Argentina,Desesperación,"1. La desesperación consume al Lobisón, quien, en su forma humana, busca una cura para su maldición. Descubre un antiguo ritual que puede liberar su alma, pero debe enfrentar su lado bestial en una lucha interna. 

2. El Lobisón, en su forma de bestia, se encuentra con una joven en la noche de luna llena. En un momento de lucidez, reconoce a su amor de la infancia y lucha por controlar su lado salvaje para no lastimarla."
ar_05,La Telesita,Argentina,Decepción,"1. La Telesita, en su pasión por el baile, hace un pacto con un espíritu oscuro para que su alma nunca deje de danzar. Pero pronto descubre que el precio es alto: su alma ahora pertenece al inframundo y debe luchar por recuperarla.

2. El espíritu de La Telesita es invocado accidentalmente por un grupo de jóvenes durante una noche de luna llena. Ella busca venganza por su trágica muerte y comienza a aterrorizar a los vivos, buscando una forma de encontrar paz y descanso eterno."
ar_05,La Telesita,Argentina,Autopreservación,"1. La Telesita, en su afán por preservar su espíritu eterno, busca la forma de transferir su alma a un talismán mágico, para así estar siempre presente en las fiestas y nunca ser olvidada.

2. La Telesita descubre que su destino está entrelazado con el de un misterioso chamán. Juntos, deben desentrañar una antigua profecía que podría cambiar el curso del folclore argentino para siempre."
